ID,Página,Secção,Elemento,Texto atual,Proposta do cliente,Notas
home.about.values.proximidade.desc,Home,Sobre / Valores,descrição,"Acompanhamento direto e personalizado — o cliente tem acesso a toda a informação sobre o seu processo.",,
home.about.values.confianca.title,Home,Sobre / Valores,título cartão,Confiança,,
home.about.values.confianca.desc,Home,Sobre / Valores,descrição,"Transparência, sigilo e responsabilidade como pilares de cada relação profissional.",,
home.services.h2,Home,Serviços (resumo),título,Os Nossos Serviços,,
home.services.intro,Home,Serviços (resumo),intro,"Competência técnica ao serviço da recuperação processual. Atuamos em todo o território nacional com rigor, imparcialidade e total conformidade com a legislação portuguesa.",,
home.services.link,Home,Serviços (resumo),link Ver todos,Ver todos os serviços,,
home.services.card1.title,Home,Serviços (resumo),cartão 1 título,Agente de Execução,,
home.services.card1.desc,Home,Serviços (resumo),cartão 1 texto,"Condução integral de processos executivos cíveis, desde as diligências iniciais até ao encerramento, em estrita observância do Código de Processo Civil.",,
home.services.card2.title,Home,Serviços (resumo),cartão 2 título,Tramitação Processual,,
home.services.card2.desc,Home,Serviços (resumo),cartão 2 texto,"Gestão rigorosa de todas as fases do processo: consultas de bases de dados, penhoras, vendas e pagamentos, com comunicação regular ao mandatário.",,
home.services.card3.title,Home,Serviços (resumo),cartão 3 título,Notificações e Citações,,
home.services.card3.desc,Home,Serviços (resumo),cartão 3 texto,"Realização de atos de notificação e citação com cumprimento escrupuloso das formalidades legais e dos prazos processuais aplicáveis.",,
home.services.card4.title,Home,Serviços (resumo),cartão 4 título,Apoio / Esclarecimento,,
home.services.card4.desc,Home,Serviços (resumo),cartão 4 texto,"Esclarecimento de dúvidas de mandatários, credores e demais intervenientes sobre o andamento dos processos e os direitos de cada parte.",,
home.trust.h2,Home,Confiança,título,Porquê trabalhar connosco,,
home.trust.intro,Home,Confiança,intro,"A nossa sociedade distingue-se pela especialização exclusiva na ação executiva e pelo compromisso com a eficiência processual. Conheça as razões pelas quais somos a escolha certa para os seus processos.",,
home.trust.point1,Home,Confiança,lista 1,Mais de 10 anos de prática especializada na ação executiva,,
home.trust.point2,Home,Confiança,lista 2,Equipa de juristas licenciados em Solicitadoria e Direito,,
home.trust.point3,Home,Confiança,lista 3,Acompanhamento direto e personalizado em cada processo,,
home.trust.point4,Home,Confiança,lista 4,Comunicação regular e transparente com mandatários e clientes,,
home.trust.point5,Home,Confiança,lista 5,Atuação em todo o território nacional,,
home.trust.point6,Home,Confiança,lista 6,Compromisso com rigor técnico e confidencialidade,,
home.faq.h2,Home,FAQ,título,Perguntas Frequentes,,
home.faq.intro,Home,FAQ,intro,"Tem dúvidas sobre processos executivos? Reunimos as questões mais comuns para o ajudar a compreender cada etapa.",,
home.faq.q1,Home,FAQ,pergunta 1,Como iniciar um processo executivo?,,
home.faq.a1,Home,FAQ,resposta 1,"Para instaurar uma ação executiva é necessário dispor de um título executivo (sentença judicial, contrato com força executiva, livrança, entre outros) e recorrer a um mandatário — advogado ou solicitador — que apresente o requerimento executivo. O Agente de Execução é posteriormente nomeado para tramitar o processo.",,
home.faq.q2,Home,FAQ,pergunta 2,Que documentos são necessários?,,
home.faq.a2,Home,FAQ,resposta 2,"Os documentos necessários variam consoante o tipo de processo e o título executivo em causa. Em regra, serão necessários o título executivo, os documentos de identificação das partes e elementos comprovativos da dívida. O seu mandatário orientá-lo-á sobre a documentação específica para o seu caso.",,
home.faq.q3,Home,FAQ,pergunta 3,Como posso acompanhar o meu processo?,,
home.faq.a3,Home,FAQ,resposta 3,"O acompanhamento é feito, em regra, através do mandatário, com acesso ao sistema CITIUS. Pode também contactar diretamente o nosso gabinete para obter informações sobre o andamento de qualquer processo em que seja parte ou interveniente.",,
home.faq.cta,Home,FAQ,botão,Ver todas as informações,,
home.contactcta.h2,Home,Contacto (bloco final),título,Entre em Contacto,,
home.contactcta.p,Home,Contacto (bloco final),texto,"Estamos disponíveis para esclarecer qualquer questão e acompanhar o seu processo. Resposta rápida e tratamento confidencial garantidos.",,
home.contactcta.button,Home,Contacto (bloco final),botão,Fale connosco,,
home.contactcta.phone.label,Home,Contacto (bloco final),rótulo Telefone,Telefone,,
home.contactcta.phone.value,Home,Contacto (bloco final),número,253 814 274,,
home.contactcta.address.line1,Home,Contacto (bloco final),morada linha 1,"Largo Doutor José Novais, 134, 1.º Esq.",,
home.contactcta.address.line2,Home,Contacto (bloco final),morada linha 2,4750-310 Barcelos,,
servicos.meta.title,Serviços,SEO / Meta,título do separador,Serviços | Patrícia Nibra & Nuno Esteves,,
servicos.meta.description,Serviços,SEO / Meta,meta description,"Conheça os nossos serviços de execução: Agente de Execução, Tramitação Processual, Notificações e Citações, Apoio e Esclarecimento.",,
servicos.header.title,Serviços,Cabeçalho de página,título (H1),Serviços,,
servicos.header.desc,Serviços,Cabeçalho de página,subtítulo,"Competência técnica ao serviço da recuperação processual. Atuamos em todo o território nacional.",,
servicos.header.imageAlt,Serviços,Cabeçalho de página,texto alternativo da imagem,Serviços da sociedade de agentes de execução,,
servicos.card1.title,Serviços,Lista de serviços,título 1,Agente de Execução,,
servicos.card1.desc,Serviços,Lista de serviços,texto 1,"Assumimos a responsabilidade pela condução integral de processos executivos cíveis, praticando todos os atos legalmente incumbidos ao Agente de Execução — desde as diligências iniciais até ao encerramento do processo — com rigor técnico e estrita observância do Código de Processo Civil.",,
servicos.card2.title,Serviços,Lista de serviços,título 2,Tramitação Processual,,
servicos.card2.desc,Serviços,Lista de serviços,texto 2,"Gerimos todas as fases do processo executivo: consultas de bases de dados, penhoras de bens, vendas e pagamentos. Informamos regularmente os mandatários sobre o estado de cada processo, garantindo total transparência e celeridade nas respostas.",,
servicos.card3.title,Serviços,Lista de serviços,título 3,Notificações e Citações,,
servicos.card3.desc,Serviços,Lista de serviços,texto 3,"Realizamos atos de notificação e citação no âmbito da ação executiva, assegurando o cumprimento escrupuloso das formalidades legais e dos prazos processuais aplicáveis.",,
servicos.card4.title,Serviços,Lista de serviços,título 4,Apoio e Esclarecimento,,
servicos.card4.desc,Serviços,Lista de serviços,texto 4,"Disponibilizamo-nos para esclarecer mandatários, credores e demais intervenientes sobre o andamento dos processos, os direitos e obrigações de cada parte e os procedimentos previstos na legislação em vigor.",,
servicos.how.h2,Serviços,Como funciona,título,Como Funciona,,
servicos.how.intro,Serviços,Como funciona,intro,"Após a distribuição ou indicação de um processo, iniciamos de imediato as diligências necessárias. A nossa estrutura especializada garante celeridade, economia de custos e eficácia na recuperação — com comunicação regular em cada fase.",,
servicos.step1,Serviços,Como funciona,passo 01,Receção e análise do processo,,
servicos.step2,Serviços,Como funciona,passo 02,Início imediato das diligências,,
servicos.step3,Serviços,Como funciona,passo 03,Execução dos atos processuais,,
servicos.step4,Serviços,Como funciona,passo 04,Acompanhamento e comunicação contínuos,,
servicos.cta.h2,Serviços,CTA final,título,Precisa dos nossos serviços?,,
servicos.cta.p,Serviços,CTA final,texto,"Contacte-nos para analisarmos a sua situação. Respondemos com brevidade e discrição.",,
servicos.cta.button,Serviços,CTA final,botão,Contactar Agora,,
sociedade.meta.title,Sociedade,SEO / Meta,título do separador,Sociedade | Patrícia Nibra & Nuno Esteves,,
sociedade.meta.description,Sociedade,SEO / Meta,meta description,"Conheça a nossa sociedade de agentes de execução. Quem somos, a nossa missão, valores e equipa.",,
sociedade.header.title,Sociedade,Cabeçalho de página,título (H1),Sociedade,,
sociedade.header.desc,Sociedade,Cabeçalho de página,subtítulo,"Conheça quem somos, a nossa missão, valores e a equipa que dá vida à sociedade.",,
sociedade.quem.h2,Sociedade,Quem somos,título,Quem Somos,,
sociedade.quem.p1,Sociedade,Quem somos,parágrafo 1,"A Patrícia Nibra, Nuno Esteves & Associados — Sociedade de Agentes de Execução, SP, RL, inscrita na OSAE com o número 128, foi constituída em 2014 e tem sede em Barcelos, exercendo a sua atividade em todo o território nacional.",,
sociedade.quem.p2,Sociedade,Quem somos,parágrafo 2,"A sociedade é composta por juristas licenciados em Solicitadoria e Direito, o que garante uma abordagem tecnicamente fundamentada em cada processo. A sua estrutura especializada e vocacionada exclusivamente para a ação executiva permite adaptar o modus operandi às necessidades específicas de cada interveniente.",,
sociedade.quem.p3,Sociedade,Quem somos,parágrafo 3,"Ao longo de mais de uma década de atividade, consolidámos uma prática orientada para a eficiência processual, a segurança jurídica das partes e a mais elevada taxa de recuperação possível dentro dos limites legais.",,
sociedade.missao.h2,Sociedade,Missão e valores,título,Missão e Valores,,
sociedade.missao.intro,Sociedade,Missão e valores,intro,Os princípios que orientam a nossa atuação diária.,,
sociedade.missao.card1.title,Sociedade,Missão e valores,Missão,Missão,,
sociedade.missao.card1.desc,Sociedade,Missão e valores,texto Missão,"Assegurar a condução de processos executivos com rigor técnico, celeridade e total transparência, adaptando a nossa atuação às necessidades de cada interveniente e situação específica.",,
sociedade.missao.card2.title,Sociedade,Missão e valores,Valores,Valores,,
sociedade.missao.card2.desc,Sociedade,Missão e valores,texto Valores,"Rigor profissional, responsabilidade, proximidade com o cliente, confidencialidade e eficiência operacional — os pilares que orientam a nossa atuação diária.",,
sociedade.equipa.h2,Sociedade,Equipa,título,Equipa,,
sociedade.equipa.intro,Sociedade,Equipa,intro,Uma equipa focada na gestão eficaz de processos e no acompanhamento personalizado.,,
sociedade.equipa.patricia.name,Sociedade,Equipa,nome,Patrícia Nibra,,
sociedade.equipa.patricia.role,Sociedade,Equipa,cargo,Agente de Execução,,
sociedade.equipa.patricia.cedula,Sociedade,Equipa,cédula,Cédula Profissional n.º 5213,,
sociedade.equipa.patricia.bio,Sociedade,Equipa,biografia,"Solicitadora e jurista, exerce funções como Agente de Execução desde outubro de 2013. Sócia fundadora da sociedade, alia competência técnica a uma abordagem próxima e orientada para o cliente.",,
sociedade.equipa.nuno.name,Sociedade,Equipa,nome,Nuno Martins Esteves,,
sociedade.equipa.nuno.role,Sociedade,Equipa,cargo,Agente de Execução,,
sociedade.equipa.nuno.cedula,Sociedade,Equipa,cédula,Cédula Profissional n.º 6662,,
sociedade.equipa.nuno.bio,Sociedade,Equipa,biografia,"Advogado e Agente de Execução desde outubro de 2013. Sócio fundador, a sua formação jurídica dupla confere à equipa uma perspetiva aprofundada sobre cada processo.",,
informacoes.meta.title,Informações,SEO / Meta,título do separador,Informações Úteis | Patrícia Nibra & Nuno Esteves,,
informacoes.meta.description,Informações,SEO / Meta,meta description,"Perguntas frequentes sobre processos executivos. Esclareça as suas dúvidas sobre execuções, documentos necessários e prazos.",,
informacoes.header.title,Informações,Cabeçalho de página,título (H1),Informações Úteis,,
informacoes.header.desc,Informações,Cabeçalho de página,subtítulo,"Informação clara para decisões mais seguras. Esclareça as suas dúvidas sobre processos executivos.",,
informacoes.faq.h2,Informações,FAQ,título,Perguntas Frequentes,,
informacoes.faq.intro,Informações,FAQ,intro,"Os processos executivos podem suscitar dúvidas legítimas. Reunimos aqui as questões mais comuns para o ajudar a compreender melhor o funcionamento da ação executiva em Portugal e os seus direitos enquanto interveniente.",,
informacoes.faq.q1,Informações,FAQ,pergunta 1,Como iniciar um processo executivo?,,
informacoes.faq.a1,Informações,FAQ,resposta 1,"Para instaurar uma ação executiva é necessário dispor de um título executivo (sentença judicial, contrato com força executiva, livrança, entre outros) e recorrer a um mandatário — advogado ou solicitador — que apresente o requerimento executivo. O Agente de Execução é posteriormente nomeado para tramitar o processo.",,
informacoes.faq.q2,Informações,FAQ,pergunta 2,Que documentos são necessários?,,
informacoes.faq.a2,Informações,FAQ,resposta 2,"Os documentos necessários variam consoante o tipo de processo e o título executivo em causa. Em regra, serão necessários o título executivo, os documentos de identificação das partes e elementos comprovativos da dívida. O seu mandatário orientá-lo-á sobre a documentação específica para o seu caso.",,
informacoes.faq.q3,Informações,FAQ,pergunta 3,Quanto tempo demora um processo executivo?,,
informacoes.faq.a3,Informações,FAQ,resposta 3,"A duração varia consoante a natureza e complexidade do processo, o tipo de bens penhoráveis e a colaboração das partes. A nossa equipa atua com celeridade em todas as diligências, mantendo comunicação regular sobre o andamento de cada processo.",,
informacoes.faq.q4,Informações,FAQ,pergunta 4,Como acompanhar o estado do meu processo?,,
informacoes.faq.a4,Informações,FAQ,resposta 4,"O acompanhamento é feito, em regra, através do mandatário, com acesso ao sistema CITIUS. Pode também contactar diretamente o nosso gabinete para obter informações sobre o andamento de qualquer processo em que seja parte ou interveniente.",,
informacoes.faq.q5,Informações,FAQ,pergunta 5,Como entrar em contacto com a sociedade?,,
informacoes.faq.a5,Informações,FAQ,resposta 5,"Pode contactar-nos por telefone, email ou através do formulário disponível na página de Contactos. Todas as solicitações são respondidas com brevidade e tratadas com total confidencialidade.",,
informacoes.links.h2,Informações,Ligações úteis,título,Ligações úteis,,
informacoes.links.intro,Informações,Ligações úteis,intro,Recursos e entidades oficiais relevantes para o acompanhamento de processos executivos em Portugal.,,
informacoes.resource.osae.title,Informações,Ligações úteis,OSAE título,OSAE,,
informacoes.resource.osae.desc,Informações,Ligações úteis,OSAE descrição,Ordem dos Solicitadores e dos Agentes de Execução — pesquisa de agentes e informação profissional.,,
informacoes.resource.citius.title,Informações,Ligações úteis,CITIUS título,CITIUS,,
informacoes.resource.citius.desc,Informações,Ligações úteis,CITIUS descrição,Portal da ação executiva — acompanhamento de processos e consulta de informação processual.,,
informacoes.resource.dgpj.title,Informações,Ligações úteis,dgpj título,dgpj.justiça.gov.pt,,
informacoes.resource.dgpj.desc,Informações,Ligações úteis,dgpj descrição,"Direção-Geral da Política de Justiça — estatísticas, legislação e informação sobre o sistema judicial.",,
informacoes.cta.h2,Informações,CTA final,título,Não encontrou a resposta que procurava?,,
informacoes.cta.p,Informações,CTA final,texto,"Entre em contacto connosco diretamente. Teremos todo o gosto em esclarecer a sua situação específica com a atenção que merece.",,
informacoes.cta.button,Informações,CTA final,botão,Contactar,,
contactos.meta.title,Contactos,SEO / Meta,título do separador,Contactos | Patrícia Nibra & Nuno Esteves,,
contactos.meta.description,Contactos,SEO / Meta,meta description,"Entre em contacto com a nossa sociedade de agentes de execução. Estamos disponíveis para esclarecer as suas dúvidas.",,
contactos.header.title,Contactos,Cabeçalho de página,título (H1),Contactos,,
contactos.header.desc,Contactos,Cabeçalho de página,subtítulo,"Estamos disponíveis para si. Todas as comunicações são tratadas com discrição e respondidas com brevidade.",,
contactos.info.h2,Contactos,Informações de contacto,título,Informações de Contacto,,
contactos.info.intro,Contactos,Informações de contacto,intro,"Pode contactar-nos por qualquer um dos meios abaixo. Respondemos a todas as solicitações com brevidade e tratamos cada contacto com total confidencialidade.",,
contactos.info.morada.title,Contactos,Blocos,Morada (título),Morada,,
contactos.info.morada.line1,Contactos,Blocos,Morada linha 1,"Largo Doutor José Novais, 134, 1.º Esq.",,
contactos.info.morada.line2,Contactos,Blocos,Morada linha 2,4750-310 Barcelos,,
contactos.info.telefone.title,Contactos,Blocos,Telefone (título),Telefone,,
contactos.info.telefone.value,Contactos,Blocos,Telefone (número),253 814 274,,
contactos.info.email.title,Contactos,Blocos,Email (título),Email,,
contactos.info.email.value,Contactos,Blocos,Email (valor),[Adicionar email],,"Placeholder no site — preencher com email final."
contactos.info.horario.title,Contactos,Blocos,Horário (título),Horário,,
contactos.info.horario.line1,Contactos,Blocos,Horário linha 1,"Segunda a Sexta: [Adicionar horário]",,"Placeholder no site."
contactos.info.horario.line2,Contactos,Blocos,Horário linha 2,Sábado e Domingo: Encerrado,,
contactos.form.h2,Contactos,Formulário,título,Envie-nos uma mensagem,,
contactos.form.intro,Contactos,Formulário,intro,"Preencha o formulário e entraremos em contacto brevemente. Todos os dados são tratados com total confidencialidade.",,
contactos.form.label.nome,Contactos,Formulário,label Nome,Nome,,
contactos.form.placeholder.nome,Contactos,Formulário,placeholder Nome,O seu nome,,
contactos.form.label.email,Contactos,Formulário,label Email,Email,,
contactos.form.placeholder.email,Contactos,Formulário,placeholder Email,o.seu@email.pt,,
contactos.form.label.mensagem,Contactos,Formulário,label Mensagem,Mensagem,,
contactos.form.placeholder.mensagem,Contactos,Formulário,placeholder Mensagem,Descreva o seu caso ou questão...,,
contactos.form.submit,Contactos,Formulário,botão enviar,Enviar mensagem,,
contactos.form.submit.loading,Contactos,Formulário,texto a enviar,A enviar...,,
contactos.form.success.title,Contactos,Formulário (após envio),título,Mensagem Enviada,,
contactos.form.success.p,Contactos,Formulário (após envio),texto,Obrigado pelo seu contacto. Responderemos brevemente.,,
contactos.form.success.button,Contactos,Formulário (após envio),botão,Enviar nova mensagem,,
contactos.map.caption,Contactos,Mapa,legenda local,"Barcelos, Portugal",,
